lbl,dflt,au,ca,sg,uk
"county cannot be blank","<LBLCOUNTY> cannot be blank if a municipality is entered.","","","",""
"must enter reason for del invoice","You must enter a reason for deleting this invoice","","","",""
"define tax rate","Define Tax Rate","","","",""
"enter reason","Enter Reason","","","",""
"send work order to","Send Work Order To","","","",""
"itemize optional","Itemize (Optional)","","","",""
"project info","Project Info","","","",""
"tech via notification","Tech via Notification","","","",""
"invoices this job and all linked jobs","Invoices (This Job And All Linked Jobs)","","","",""
"send text message","Send a Text Message","","","",""
"nsi","NSI","","","",""
"must enter notification message","You must enter notification message before sending","","","",""
"flag","Flag","","","",""
"must enter push list","You must enter at least 1 person to send push notification","","","",""
"aia app no","AIA App No.","","","",""
"push notification sent","Push Notification Sent","","","",""
"confirm send wo to tech","Send <TYPE> for <NAME> (and including additional workers) and Flag WO as Sent To Tech?","","","",""
"reprint invoice","Reprint Invoice","","","",""
"push notification","Push Notification","","","",""
"browser does not support push notification","Your browser does not support Push Notifications currently!","","","",""
"push notif permission denied","Unable to get permission for push notifications. Permission Denied","","","",""
"click add on the next screen to create a new","Click 	 + 	 on the next screen to create a new <ITEM>","","","",""
"send to","Send To","","","",""
"confirm delete tax rate","Are you sure you want to delete this tax rate?","","","",""
"card","Card","","","",""
"bank account","Bank Account","","","",""
"routing no","Routing No.","","","",""
"account no","Account No.","","","",""
"confirm account no","Confirm Account No.","","","",""
"account nos do not match","Account No. does not match!","","","",""
"must enter bank info","You must enter your bank information.","","","",""
"confirm del pmt method on file","Are you sure you want to delete saved payment method: <DESC>?","","","",""
"cannot delete default payment method on file","You cannot delete the default payment method. Please add a new payment method on file (it will be the new default) and then try again.","","","",""
"delete payment","Delete Payment","","","",""
"confirm del pmt","Are you sure you want to delete payment: <PAYMENTID>?\n\nThis cannot be undone. Only proceed if you want to permanently delete this payment.","","","",""
"push disabled","Push Disabled","","","",""
"mng time user not found msg","User is not found at the selected lower(<LBLBRANCH>). Cannot enter time record!","","","",""
"merchant id","Merchant ID","","","",""
"api credentials","API Credentials","","","",""
"pre-authorize","Pre-Authorize","","","",""
"manage geo regions","Manage Geo Regions","","","",""
"defined geo regions","Defined Geo Regions","","","",""
"geo regions","Geo Regions","","","",""
"parent","Parent","","","",""
"super geo region","Super Geo Region","","","",""
"confirm delete record","Are you sure you want to delete the highlighted record?","","","",""
"geo reg instructions","Define your geographical regions as desired. For example, 'Name' could be your <LBLCOUNTY> Name and 'Parent' could be your State Abbreviation.","","","",""
"geo region","Geo Region","","","",""
"region name","Region Name","","","",""
"region name cannot be blank","Region name cannot be blank","","","",""
"parent name cannot be blank","Parent name cannot be blank","","","",""
"belongs to super geo region","Belongs to Super Geo Region","","","",""
"super geo regions","Super Geo Regions","","","",""
"manage super geo regions","Manage Super Geo Regions","","","",""
"defined super geo regions","Defined Super Geo Regions","","","",""
"super region name cannot be blank","Super Region name cannot be blank","","","",""
"super geo instructions","Define your super geographical regions as desired. For example, 'Name' could be your Teritory/Distict Name. Super Geo Regions contain multiple Geo Regions.","","","",""
"super region name","Super Region Name","","","",""
"view payments","View Payments","","","",""
"app url","App URL","","","",""
"switch app page","Are you sure you want to switch:\nFrom: <CUR>\nTo: <NEW>?","","","",""
"credentials from clover","Credentials from Clover Connect Email","","","",""
"file upload progress","Uploading file(s) <CNT> of <TOT>","","","",""
"preparing files to upload","Preparing file(s) to upload","","","",""
"must check enter new payment before you can save it out","You must check <CHkLBL> before you can save a new payment method.","","","",""
"save payment method","Save Payment Method","","","",""
"create invoice","Create Invoice","","","",""
"create nsi","Create NSI","","","",""
"manage pending nsi","Manage Pending NSIs","","","",""
"temp id","Temp. ID","","","",""
"billing","Billing","","","",""
"always show selected","Always Show Selected","","","",""
"confirm comp code ok","Please confirm your company code: <b><span style="font-size:16px"><COMPCODE></span></b>\n\nThis is used when you sign in to <APPNAME> and will be used by all employees.\n\n For Example:\n<img style="margin-top:10px; max-height:200px;" src="../img/signInScreenCustCode.png" />","","","",""
"to change email for receipts give us a call","To change the email on file for payment receipts, give us a call","","","",""
"to change email for receipts 2","or email us","","","",""
"set as default","Set as default","","","",""
"find pending nsi","Find Pending NSI","","","",""
"add line item","Add Line Item","","","",""
"confirm delete nsi","Are you sure you want to delete the Temp. ID: <ID>?","","","",""
"non service invoice","Non-Service Invoice","","","",""
"line items","Line Items","","","",""
"save as pending inv","Save As\n Pending Inv.","","","",""
"select job","Select Job","","","",""
"view job","View Job","","","",""
"nsi intro tutorial","Every invoice requires a customer selection. Before you can enter any further invoice information, you must first select a customer. The customer selection form will automatically be opened for your convenience and proficiency.","","","",""
"must select a customer","You must select a customer before this action","","","",""
"must enter a date","You must enter a date before this action","","","",""
"line item","Line Item","","","",""
"fuel surcharge","Fuel Surcharge","","","",""
"parts material","Part/Material","","","",""
"non service line item","Non-Service Line Item","","","",""
"nsi line instructions","Note: FSC should be added as the last invoice item to properly calculate FSC amounts","","","",""
"total cost","Total Cost","","","",""
"pricing","Pricing","","","",""
"line item printed notes","Line Item Printed Notes","","","",""
"you have not specified a price","You have not specified a price. Is this correct?","","","",""
"negative charge not allowed","You have entered a negative charge. Negative charges are not allowed.\n\nIf you are trying to create a credit for the customer, go to Data-Customers-Surplus-History and create a Manual Credit.","","","",""
"must specify gl code","You must specify a GL code","","","",""
"should specify gl code","You should specify a GL code. Specify now?","","","",""
"have not entered cost for this item","You have not entered cost for this item. Enter cost now?","","","",""
"cost is greater than sub total price","Cost is greater than sub total price. Is that correct?","","","",""
"no correct","No, Correct","","","",""
"invoice date cannot be in the future","Invoice date cannot be in the future","","","",""
"all line items must be greater than zero","All line items must be greater than zero.","","","",""
"each","Each","","","",""
"print inv","Print Inv","","","",""
"creating invoice","Creating Invoice...","","","",""
"","","","","",""
"pre authorized cc","Pre-Authorized CC","","","",""
"charge and apply","Charge & Apply","","","",""
"cancel pre auth","Cancel Pre-Auth.","","","",""
"view payment","View Payment","","","",""
"find pre authorized cc","Find Pre-Authorized CC","","","",""
"pre authorized","Pre-Authorized","","","",""
"charged","Charged","","","",""
"cancelled","Cancelled","","","",""
"since","Since","","","",""
"pre auth","Pre-Auth","","","",""
"payment posted by","Payment Posted By","","","",""
"pre auth expires","Pre-Auth. Expires","","","",""
"cancelled dt","Cancelled Dt","","","",""
"cancelled by","Cancelled By","","","",""
"pre auth charged, cancelled or expired","Pre-Authorization has already been charged, cancelled, or is expired","","","",""
"pre auth not charged yet","Pre-Auth. not charged yet.","","","",""
"pre authorize cc","Pre-Authorize CC","","","",""
"start account but keep current merchant","We recommend creating your merchant account before switching so you can continue to process payments in <APPNAME> in the interim.\n\nThe process to create the merchant account can take up to 48 hours (depending on the merchant).\n\nDo you want to swtich merchants now or create your account?","","","",""
"start clover account ca but keep current merchant","We recommend creating your Clover account before switching so you can continue to process payments in <APPNAME> in the interim.\n\nThe process to create the merchant account can take up to 48 hours. Please contact <APPNAME> support to start the creation of your Clover account.\n\nDo you want to swtich merchants now or create your account?","","","",""
"efts checked","EFTs Checked: <TOT>\n\nCleared: <CLEARED>\nFailed: <FAILED>\nNo Change: <NOCHANGE>","","","",""
"invoice and job customer do not match","The invoice customer and job customer do not match.","","","",""
