lbl,dflt,la
"tech sched prev days","Técnico citado en días previos",""
"tech only see wo flagged sent to tech","El técnico sólo ve las O.T. marcadas como "Enviadas a técnico”","El técnico solo ve las O.T. marcadas como "Enviadas a técnico”"
"allow tech modify ft time","Permitir que los técnicos modifiquen las horas de la tarjeta de tiempo FT",""
"allow addl workers to complete safety","Permitir que los trabajadores adicionales completen los requisitos de seguridad",""
"allow tech to email ft","Permitir que los técnicos envíen correos electrónicos a FT",""
"hide job entered from tech","Ocultar quién entró en el trabajo de los técnicos",""
"show uncompleted wos","Mostrar O.T. no completadas",""
"gps bread crumb freq","Frecuencia de GPS Bread Crumb",""
"calc cod amount from wo tasks","Calcular importe COD a partir de tareas de la O.T. (no trabajo)",""
"allow tech to price cod fts","Permitir que los técnicos pongan precio a las COD FT",""
"1 sig when possible","Utilice 1 firma cuando sea posible",""
"job safety plan","Plan de seguridad laboral",""
"vehicle mileage rqrd","Kilometraje del vehículo",""
"ft sig","Firma FT",""
"req pics per ft","Fotos pedidas por FT",""
"job site inspections","Inspecciones de obra",""
"assigned by app","Esta sección asignada por <APPNAME>",""
"auto texting","Autotexto",""
"auto send text message when tech clicks","Envíe automáticamente mensajes de texto al cliente cuando el técnico haga clic",""
"do not send text if eta is over","No envíe mensajes de texto si se ha superado el tiempo estimado de llegada",""
"add to eta","Añadir a tiempo estimado de llegada",""
"confirm restore dflt auto text","¿Restaurar la configuración predeterminada de los mensajes de texto automáticos?",""
"text default tech started msg","Grandes noticias de <BRANCHNAME>. Nuestro técnico está de camino y debería llegar en aprox. <ETA>. Responda <Parar> para dejar de recibir mensajes de texto.","Grandes noticias de <BRANCHNAME>. Nuestro técnico está en camino y debería llegar en aprox. <ETA>. Responda <Parar> para dejar de recibir mensajes de texto."
"text default tech arrived msg","¡Atención! <TECHFIRSTNAME> ya está en el sitio. Puede ponerse en contacto con ellos en <TECHCELL> si tiene alguna pregunta.",""
"text default tech departed msg","¡Nos vamos! Si tiene alguna pregunta o duda, póngase en contacto con nuestra oficina en el <BRANCHPHONE>. ¡Gracias por elegir <BRANCHNAME>!",""
"0 = unlimited","(0=Ilimitado)",""
"0 = off","(0=Apagado)",""
"cust availability","Disponibilidad del cliente",""
"make all cust avail at this branch from","Ponga a todos los clientes a su disposición en esta <LBLBRANCH> desde",""
"remove all cust from this branch","Eliminar todos los clientes de esta <LBLBRANCH>",""
"must specify branchname","Primero debe especificar un nombre de lower(<LBLBRANCH>).",""
"saving please wait","Guardando.\nPor favor, espere…\n\nEsto puede tardar unos minutos.",""
"confirm remove all cust","¿Está seguro de que desea eliminar a todos los clientes de esta lower(<LBLBRANCH>)?",""
"show est time on wo","Mostrar hora estimada de O.T.","Mostrar hora estimada de la O.T."
"show quote gen notes on wo","Mostrar notas generales de cotización sobre O.T.","Mostrar notas generales de cotización sobre la O.T."
"print auth to proc with ft","Imprimir autentificación para proceder con FT",""
"itemize adjustments","Desglose los ajustes (nivel de tarea)",""
"ft time","Tiempo de FT",""
"auto make wo","Crear automáticamente O.T. para nuevos trabajos (sólo para la adición rápida)","Crear automáticamente O.T. para nuevos trabajos (solo para la adición rápida)"
"auto set wo color to","Autoajustar el color de O.T. a",""
"change color","Cambiar color",""
"auto unreview job when wo created after","Quitar revisión de trabajo cuando la O.T. se crea después de",""
"job auto unreview hint","0 = Nunca quitar revisión",""
"cod barrage notification","Activar Términos “Notificación múltiple”",""
"default state","<LBLSTATE> por defecto",""
"specify invoice date","Especifique la fecha de facturación",""
"tech rev allocation","Asignación de ingresos técnicos",""
"eeo","EEO",""
"cert payroll","Certificado de Nómina",""
"new cust inv","Inventario de cliente nuevo",""
"non perform","No se desempeñó",""
"statement","Declaración",""
"itemized adj rcpt","Recibo detallado ajustado",""
"hide emtpy qa on qt, ft, inv","Ocultar Q/A vacíos en cotización, FT, inventario",""
"new cust dflt terms","Condiciones por defecto de cliente nuevo",""
"apply to all","Aplicar\na todos",""
"confirm apply all to dflt inv","Esto aplicará la factura por defecto de <NAME> a todos los clientes (nuevos y antiguos).\n\n Los cambios se aplicarán inmediatamente. ¿Continuar?","Esto aplicará la factura por defecto de <NAME> a todos los clientes (nuevos y antiguos).\n\nLos cambios se aplicarán inmediatamente. ¿Continuar?"
"confirm apply all to dflt cert","Esto aplicará el informe de <NAME> a todos los trabajos activos.\n\nLos cambios se aplicarán inmediatamente y no podrán deshacerse. ¿Continuar?",""
"yes apply","Sí, aplicar",""
"printed ft terms and conditions","Términos y condiciones del FT impreso",""
"also print on quote","Imprimir también en el presupuesto",""
"message printed on inv and ft","Mensaje impreso en facturas y entradas de campo",""
"schedule set msg","Programar mensaje fijo",""
"confirm restore dflt sched msg","¿Restablecer al mensaje programado fijo por defecto?",""
"sched set dflt msg","Grandes noticias de <BRANCHNAME>. Le tenemos programado para <DATE>. Estamos estimando que <TECHFIRSTNAME> estará en el lugar alrededor de las <STARTTIME>. Si tiene alguna pregunta o necesita cambiar la fecha, póngase en contacto con nuestra oficina en el <BRANCHPHONE>.","Grandes noticias de <BRANCHNAME>. Lo tenemos programado para <DATE>. Estamos estimando que <TECHFIRSTNAME> estará en el lugar alrededor de las <STARTTIME>. Si tiene alguna pregunta o necesita cambiar la fecha, póngase en contacto con nuestra oficina en el <BRANCHPHONE>."
"job custom fields","Campos personalizados de trabajo",""
"wo custom fields","Campos personalizados de la orden de trabajo",""
"status updates","Actualizaciones de estado",""
"pick","elija","Elija"
"links","Enlaces",""
"hide all","Ocultar todo",""
"show all","Mostrar todo",""
"show onsite only","Mostrar sólo in situ","Mostrar solo in situ"
"show travel only","Mostrar sólo viajes al trabajo","Mostrar solo viajes al trabajo"
"1 per job","1 por trabajo",""
"1 per ft","1 por FT",""
"1 per day","1 por día",""
"1 per week","1 por semana",""
"every day","Todos los días",""
"every week","Cada semana",""
"every 2 days","Cada 2 días",""
"1 per job per lead","1 por trabajo por cliente potencial",""
"1 per job per lead and addl","1 por trabajo por cliente potencial y todos los adicionales",""
"1 per ft per lead","1 por FT por cliente potencial",""
"1 per ft per lead and addl","1 por FT por cliente potencial y todos los adicionales",""
"no allocation","Sin asignación",""
"hourly by inv","Por hora por inventario",""
"by ft","Por FT",""
"all techs equal","Todos los técnicos iguales",""
"stored rate for addlt workers","Tasa almacenada para trabajadores adicionales",""
"by job","Por trabajo",""
"validating required line items in acctsys","Validando Partidas Requeridas En <ACCTSYS>.\nEspere, por favor…","Validando partidas requeridas en <ACCTSYS>.\nEspere, por favor…"
"creating acctsys invoices","Creando facturas <ACCTSYS>\n<CNT> de <TOT>\nPor favor, espere…",""
"sales rep scheduling","Programación de representantes de ventas",""
"cannot open wo until day of","Inspección(es) de vehículo(s) detectada(s). No puede abrir una O.T. hasta el día de (o en las horas siguientes para trabajos nocturnos) para asegurar la finalización de la inspección del vehículo.\n\nPor favor, utilice "Cargar mi vehículo" para ver las tareas / notas de las próximas Órdenes de Trabajo.","Inspección(es) de vehículo(s) detectada(s). No puede abrir una O.T. hasta el día de (o en las horas siguientes para trabajos nocturnos) para asegurar la finalización de la inspección del vehículo.\n\nPor favor, utilice “Cargar mi vehículo” para ver las tareas / notas de las próximas Órdenes de Trabajo."
"view (hide tabs)","Ver (Ocultar el contenido de la pestaña)","Ver (ocultar el contenido de la pestaña)"
"number must be above","El número debe ser superior a <NÚMERO>",""
"turn on quick start instruc","Para volver a activar el inicio rápido, vaya a "Menú" > "Ajustes".","Para volver a activar el inicio rápido, vaya a “Menú” > “Ajustes”."
"number must be below","El número debe ser inferior a <NÚMERO>",""
"view log","Ver registro",""
"creating acctsys addl","Creando cargos adicionales <ACCTSYS>\n<CNT> de <TOT>\nPor favor, espere…",""
"data push report","Informe de empuje de datos","Informe de envío de datos"
"creating acctsys pmt","Creando pagos <ACCTSYS>\n<CNT> de <TOT>\nPor favor, espere…",""
"creating acctsys pmt cc","Creando pagos CC <ACCTSYS>\n<CNT> de <TOT>\nPor favor, espere…",""
"creating acctsys adj","Creando ajustes <ACCTSYS>\n<CNT> de <TOT>\nPor favor, espere…",""
"creating acctsys refund","Creando reembolsos <ACCTSYS>\n<CNT> de <TOT>\nPor favor, espere…",""
"report parameters","Parámetros del informe",""
"auth to proc sig","Autentificar para proceder con la firma",""
"more info","Más información",""
"save to proceed msg","Esta función requiere que se guarden los datos antes de continuar. Si continúa, se guardarán todos los datos.",""
"save to proceed","Esto guardará todos sus cambios antes de continuar. ¿Está seguro de que desea continuar?",""
"do not remind me again","No volver a recordar",""
"acct push info","Esto mostrará el registro de DataPush (integración con su sistema contable) para el intervalo de fechas seleccionado.",""
"aging link no invoices","No hay facturas pendientes. Gracias.",""
"save and proceed","Guardar y continuar",""
"accounting system","Sistema contable",""
"confirm save","Confirmar guardado",""
"show detail on report","Mostrar detalles en el informe",""
"tip","Sugerencia",""
"push id","ID de empuje","ID de envío"
"tran type","Tipo de Tran.",""
"tran qty","Cantidad de Tran.",""
"ref type","Tipo de referencia",""
"pushed by","Empujado por","Enviado por"
"before tax","Antes de impuestos",""
"delete push","Borrar empuje <PUSHID>","Borrar envío <PUSHID>"
"confirm delete push","Borrar un empuje no se puede deshacer.\n\nProceda sólo si desea borrar permanentemente el empuje resaltado.","Borrar un envío no se puede deshacer.\n\nProceda solo si desea borrar permanentemente el envío resaltado."
"delete push important message","¡IMPORTANTE!\n\nDebe borrar manualmente el empuje en su sistema contable. ¡Si no borra manualmente el empuje, <APPNAME> quedará desbalanceado con su sistema contable!\n\nPor favor, no lo olvide.","¡IMPORTANTE!\n\nDebe borrar manualmente el envío en su sistema contable. ¡Si no borra manualmente el envío, <APPNAME> quedará desequilibrado respecto a su sistema contable!\n\nPor favor, no lo olvide."
"info","Información",""
"finalized inv","<Inventario finalizado",""
"quickbooks","QuickBooks",""
"dynamics gp","Dynamics GP",""
"intacct","Intacct",""
"sage 50 canadian","Sage 50 - Canadiense",""
"manual journal entries","Entradas manuales","Asientos manuales"
"ccg systems","Sistemas CCG",""
"atp changed and needs to refresh","La Autorización para Proceder ha sido modificada desde que cargó esta pantalla. Pulse "Aceptar" para actualizar y revisar el nuevo documento antes de firmarlo.",""
